artist,text
Manowar," 
Voices of Victory
All shout and proclaim
The Kingdom of Glory is mine
The Rays of the will our prophecy filled
I'm the lord of the day and the night
I've nothing to sell but the power of hell
My Armies of fire awaits
I'm here to be paid for the pact that was made
My payment can never be late
Crack the Earth, Gods of Thunder
Man and beast will be torn asunder
Into the Fight I own the right
To be the King of kings
My Enemies rise and look to the skies
They pray I will never appear
Their Life has no meaning
Awake they are dreaming
They live in a castle of fear
I summon the demons that live in the wind
As my Chariot drives in the Storm
With the hot blood of Battle
I wait in my saddle
I live and I'll die by the sword
Crack the Earth, Gods of Thunder
Man and beast will be torn asunder
Into the Fight I own the right
To be the King of kings
All the days of his life
He walked without fear
All whose lives he touched
Were made better for knowing him
As he returned goodness with good
So too his justice and retribution were unfailing
As my sword is my soul
Then let all who stand before me know
I bring a storm and Magic wind
The Kingdom of the Kings
I summon the demons that live in the wind
As my Chariot drives in the Storm
With the hot blood of Battle
I wait in the saddle
I live and I'll die by the sword
Crack the Earth, Gods of Thunder
Man and beast will be torn asunder
Into the Fight I own the right
To be the King of kings
Crack the Earth, Gods of Thunder
Man and beast will be torn asunder
Into the Fight I own the right
To be the King of kings
Crack the Earth, Gods of Thunder
Man and beast will be torn asunder
Into the Fight I own the right
To be the King of kings
King of kings!!!
King of kings!!!
King Of Kings!
"
Manowar," 
See the white light
The light within
Be your own disciple
Fan the sparks of will
For all of us waiting
Our kingdom will come
Rays of power shining
Rays of magic fall
On the golden voice that speaks within us all
For all of us waiting
Your kingdom will come
Kingdom Come
Feel the white light
The light within
Yea it burns a fire that drives a man to win
For all of us waiting
Your kingdom will come
Kingdom Come
Words of power
Calling to us all
Holding us together while other kingdoms fall
No longer waiting
Our kingdom has come
Kingdom Come
Kingdom coming
Another kingdom falls
The rightful are waiting
But all are not rightful
Wait and receive the weight of the fall
Kingdom Come
"
Manowar," 
Dreadful Thunder
The storms moving in
And Judgment day is calling
My soul has been healed
By the power of steel
And the sound of glory 
I will send into the ground
All that are found
By the sign of the hammer falling
Yes Heathens will fall
I will strike down them all
Then you will know my calling
Bravery calls my name
In the sound of the wind in the night
My sword will drink blood
And I will fight
Yes I will fight
In the dawn of battle
Dawn of Battle
I will rise up from the chaos
I will rise up from the grave
A brother to the darkness
A master to the slaves
I am the soul descendent
Of the fire and the rage
I was wrought upon the earth
Born to rule and battle wage
By the total domination
Of the world in my command
By the Air and the water
By the Fire and the land
I give no explanation
I was branded by the will
Bringer of Death and Destruction
To all that I now kill
Bravery calls my name
In the sound of the wind in the night
My sword will drink blood
And I will fight
Yes I will fight
In the dawn of battle
Dawn of Battle
I long to be free
So I wait for a sign
I wait for a star
To fall from the sky
From the dust of sleep
A promise to keep
Then all who see shall believe
Deliver into my hand
The sword of the land
Let my journey begin
So all shall understand
That if I fall
I will live again
I will rise up from the chaos
I will rise up from the grave
A brother to the darkness
A master to the slaves
I give no explanation
I was branded by the will
To bring of Death and Destruction
To all that I now kill
Bravery calls my name
In the sound of the wind in the night
My sword will drink blood
And I will fight
Yes I will fight
In the dawn of battle
"
Manowar," 
I surrender my soul
Odin hear my call
One day I'll sit beside your throne
In Valhalla's great hall
Like so many before me
I'll die with honor and pride
The right of the warrior
Forever to fight by your side
Send a sign, raise the sail
Wave a last goodbye
Destiny is calling
Immortality be mine
Call the witch to cast the runes
Weave a magic spell
We who die in battle are born
Not for heaven, not for hell
We are sons of Odin
The fire we burn inside
Is the legacy of warrior kings
Who reign above in the sky
I will lead the charge
My sword into the wind
Sons of Odin fight
To die and live again
Viking ships cross the sea
In cold wind and rain
Sail into the black of night
Magic stars our guiding light
Today the blood of battle
Upon my weapons will never dry
Many I'll send into the ground
Laughing as they die
Place my body on a ship
And burn it on the sea
Let my spirit rise
Valkiries carry me
Take me to Valhalla
Where my brothers wait for me
Fires burn into the sky
My spirit will never die"
Manowar," 
Hands of doom are reaching out to crush all infidels who stray
Time to know the pain, no time to run within
And these hands you see before you will end the light of day
Your ashes will be cast into the wind
Your blood's upon the soil, your body fed to wolves
Not one of you will be left alive
Hear the sound pounding and the army of the night
By the hammer of Thor you now shall die
Tonight we strike, there is thunder in the sky
Together we'll fight, some of us will die
But they'll always remember that we made a stand
And many will die by my hand
High atop the mountain, with hammers in the wind
Lusting for blood and death again
In a flash of lightning strike now the house of death invites you
Body and soul to come within
I see the fear you have inside, you can run but never hide
I will hunt you down and tear you limb from limb
Nothing shall remain, not your memory, your name
It will be as though you never, ever lived"
Manowar," 
Powers of the universe did sire a son...
He was baptized by fire, water, earth, and sky...
From darkness, he rose up in triumph
To ascend the throne of light,
And he alone shall ever be known
As the King of Kings...
I enter this world born under a sign of infinite light,
And there I shall dwell. I now understand...
All that I am shall live in my command...
"
Manowar," 
He broke the laws of the elders
So they plucked out his eye,
Took his land and fortune,
Left him to die
Bound on the shoreline,
Left for the tide,
Sees his life-blood leaving...
Circling lower, the vultures fly
His bones may be broken
But the spirit can't die
And the Gods see his anguish
And give him a sign
From the floor of the ocean
The ship of the lost souls rise
And they take him where no one sleeps while the undead cry,
Where no one sleeps while the undead cry...
And in the world above
The elders sing,
On his land they live...
Let death's bell ring
Narration:
He was met at the gate of Hades
By the Guardian of the Lost Souls,
The Keeper of the Unavenged
And He did say to him:
""Let ye not pass
Abaddon
Return to the world
From whence you came
And seek payment
Not only for thy known anguish
But to vindicate the souls
Of the Unavenged""
And they placed in his hands
A sword
Made for him
Called: Vengeance
Forged in brimstone
And tempered
By the woeful tears of the Unavenged
And to carry him up on his journey
Back to the upper world
They brought forth
Their Demon horse
Called: Black Death
A grim steed
So fiercely might
And black in colour
That he could stand as one: Darkness...
Save from his burning eyes
of crimson fire
And on that night
They rode up from Hell
The pounding of his hooves
Did clap like thunder!
Burning, death, destruction
Raping the daughters and wives
In blood I take my payment
In full with their lives
No one can escape me
On Black Death I ride
When kissed by the sword of Vengeance
Your head lays there by your side
I take the lives of all that I once knew
The torn flesh of a slow death waits for you
Burning, death, destruction
Raping the daughters and wives
In blood I take my payment
In full with their lives
I spare not land or servants
My wake is smoke and flame
I take their wives and daughters
They stand there watching, watching
Hoping to get my life
But when I'm through they know that they must pay
Burning, death, destruction
Raping the daughters and wives
In blood I take my payment
In full with their lives
With their lives
With their lives
With their lives
"
Manowar," 
Voices of Victory
All Shout and proclaim
The Kingdom of Glory is mine
The Raise of the will our  prophecy filled
I'm the lord of the day and the night
Ive nothing to sell but the power of hell
My Armies of fire awaits
I'm here to be paid for the pact that was made
My payment can never be late
Crack the Earth, Gods of Thunder
Man and beast will be torn asunder
Into the Fight I own the right
To be the King of kings
My Enemies rise and look to the skies
They Pray I will never appear
The Life has no meaning
Awake they are dreaming
They live in a castle of fear
I summon the demons that live in the wind
As my Chariot drives in the Storm
With the hot blood of Battle
I wait in my saddle
I live and I'll die by the sword
Crack the Earth, Gods of Thunder
Man and beast will be torn asunder
Into the Fight I own the right
To be the King of kings
All the days of his live
He walked without fear
All who's lives he touched
Were made better for knowing him
As he returned goodness with good
So true is justice and retribution were un failling
As my sword is my soul
Then let all who stand before me know
I bring a storm and Magic wind
The Kingdom of the Kings..
I summon the demons that live in the wind
As my Chariot drives in the Storm
With the hot blood of Battle
I wait in my saddle
I live and I'll die by the sword
King of kings!!!
King of kings!!!
King of...
Of Kings!
"
Manowar," 
- Grandfather, tell me a story!
- Alright, go and get your storybook
- No, no, not one of those, a real story!
- A real story?
- Yes, tell me about when you were a boy.
- Well, then I shall have to take you back with me, a long way in time...
It was my thirteenth year on a cold winter's
day, as I walked through the enchanted forest,
I heard the sound of horses and men at arms,
I felt compelled to walk on and find the place
of these sounds, and when the forest did clear
I was standing on a hill. Before me, (there?)
was a great plain. Upon it, the armies of the
world, standing, waiting. I thought to myself,
for whom or for what are they waiting?
Suddenly a gust of wind came up from the north.
There appeared a lone rider, holding a sword
of steel. Then from the south came another,
bearing a battle ax. From the east came a third,
holding a spiked club. And finally, from the west,
a rider who wielded a great hammer of war.
With them came their soldiers of death, followed
by an army of immortals. They were few in number,
but the look in their eyes told all who beheld
them that they would leave this day only in
victory or death. And there was a great silence...
My heart began to pound, storm clouds filled
the sky with darkness, rain came, and the four
winds blew with such anger that I held fast to
a tree. I watched the four riders raise their
weapons into the air. Without warning, screaming
their war cry. They led the attack, down to
the battle they rode. They met the armies of
the world with a mighty clash! I could feel
the ground shake, the earth drank much blood
that day! Each of the four, was unto himself,
a whirlwind of doom!!!!!!!!!!
When the smoke did clear, many thousands
were dead. There was much blood and gore.
Their bodies lay broken and scattered across
the battlefield, like brown leaves blown by
the wind. And I saw the four ride together
to the top of the hill, while below them the
soldiers of death assembled, all those who
would now swear allegiance to them. And the
four spoke the words of the warriors prayer...
Gods of war I call You. My sword is by my side.
I seek a life of honor, free from all false pride.
I will crack the whip with a bold mighty hail.
Cover me with death if I should ever fail.
Glory, Majesty, Unity
Hail, Hail, Hail
And as I stood and looked on, I heard the
armies of the world hail them without end, and
their voices of victory carried long and far
throughout the land!
- Well that's it. Did you like the story?
- Yeah, it was great!
- Oh Good, I'm glad. Now off to bed with you.
- Grandfather?
- Yes?
- Who were those four men?
- Who were they? They were the Metal Kings!!!!!!
"
Manowar," 
When you see me comin' flying down the road
You know I ain't afraid to lay it down
Yea got me some leather. Leather is my skin
Black'n'chrome flashin' through the town.
Some call me the WARLORD 'cause I'm a god-damn
bad machine, young'n'hungry, not too proud'n'mean
Ride, ride, ride, I'm the WARLORD of the road,
Riding, riding, riding, ain't never growin' old.
Take what I want and I go where I please
Got the world right by the balls. This world ain't
big enough to keep me down. Yea we're livin'
in a sick world. The man on the T.V. said we
got lotsa trouble overseas, well what the hell
do I care? Think they care about me?
Stop sending money send'em all a bomb.
Ride, ride, ride, I'm the WARLORD of the road,
Ridin', ridin', ridin', ain't never growin' old.
Born to live in the fast lane on a chopped up
Harley-D, smell that oil and high test gasoline.
Never got a shortage of girls to share my seat.
Well they all want to know what people say is true,
You know, get a biker started 'n he'll drive all
damn night. Well hold on honey 'cause this ride's for a ride.
Ride, ride, ride, ride, ride, ride, ride
I'm the WARLORD of the road.
Ridin', ridin', ridin', ain't never growin' old.
"
